# patches_cauda_pb.txt -- o lote de correcoes de cauda de quadros P/B (plano 2) que entrou no patches.txt.
# Aplicado em 2026-09-24, aprovado pelo usuario: niveis A e B inteiros (475 linhas, 325 quadros).
# O verify pula este arquivo. mapa do filme inteiro antes/depois: so o quadro 2189 muda
# (erro em MB 7356 -> 7358; o quadro ja decodificava lixo antes da tarja e o decodificador
# dessincronizado le os 3 ultimos bytes, onde esta o bit corrigido).
# Gerado em 2026-09-24 por ferramentas/ancora/cauda_pb.py; censo em dados/censo_cauda_pb.txt,
# log em dados/cauda_pb.log.
#
# A tarja inferior de P/B e so skip (medido: 840/840 MBs nos 28 P/B do GOP 3319); o
# codificador (ancora_pb.c) recodifica as fileiras 62-67 com o codIRange de entrada e o
# ESTADO do contexto do skip como incognitas. Regras: distancia <= 2, todas as saidas
# distintas na distancia minima apontando os mesmos bits, cauda corrigida fechando com
# distancia 0 e sem violacao de escape. Controle: 60 caudas aleatorias ficam a 4-13.
#
# Censo dos 3.314 P/B: 2.541 com a cauda intacta (distancia 0), 330 com correcao certa,
# 440 sem correcao certa, 3 ambiguos. Fora desta proposta: 10, 11, 560, 970 e 1119, que
# tem enchimento no fim (o alinhamento pelo stop bit nao e confiavel ali). Dos 330, so o
# 10 decodifica inteiro hoje -- e e um dos excluidos.
#
# NIVEL A: distancia 0 (so o escape restaurado) ou 1.
# NIVEL B: distancia 2 -- controle aleatorio chegou a 4 uma vez em 60, margem menor.
#
# Colunas: offset bit   # quadro, distancia, hipoteses empatadas, saidas distintas

# ===== NIVEL A: 189 quadros, 196 bits =====
42658136 0   # quadro 1263, dist 1, 35 empatadas, 1 saidas
43158753 7   # quadro 1281, dist 1, 472 empatadas, 14 saidas
44186317 7   # quadro 1310, dist 1, 356 empatadas, 7 saidas
44383033 0   # quadro 1317, dist 1, 176 empatadas, 1 saidas
46690147 6   # quadro 1383, dist 1, 470 empatadas, 11 saidas
46747359 3   # quadro 1384, dist 1, 305 empatadas, 4 saidas
48561100 0   # quadro 1446, dist 1, 178 empatadas, 1 saidas
48660218 6   # quadro 1451, dist 1, 471 empatadas, 15 saidas
48753948 1   # quadro 1456, dist 1, 421 empatadas, 9 saidas
49054072 4   # quadro 1467, dist 1, 478 empatadas, 13 saidas
49485544 7   # quadro 1486, dist 1, 239 empatadas, 2 saidas
49783149 5   # quadro 1496, dist 1, 456 empatadas, 11 saidas
49790437 0   # quadro 1497, dist 1, 46 empatadas, 3 saidas
49884196 1   # quadro 1503, dist 1, 435 empatadas, 12 saidas
50769166 0   # quadro 1537, dist 1, 258 empatadas, 2 saidas
50911089 3   # quadro 1543, dist 1, 440 empatadas, 13 saidas
51121933 6   # quadro 1550, dist 1, 526 empatadas, 15 saidas
53815450 4   # quadro 1630, dist 1, 305 empatadas, 4 saidas
54303036 5   # quadro 1646, dist 1, 464 empatadas, 14 saidas
54458277 0   # quadro 1651, dist 1, 324 empatadas, 4 saidas
55002109 3   # quadro 1663, dist 1, 485 empatadas, 13 saidas
56231762 5   # quadro 1694, dist 1, 457 empatadas, 11 saidas
57208764 6   # quadro 1717, dist 1, 121 empatadas, 9 saidas
57408946 6   # quadro 1724, dist 1, 475 empatadas, 14 saidas
58336282 0   # quadro 1745, dist 1, 434 empatadas, 12 saidas
58826731 2   # quadro 1760, dist 1, 92 empatadas, 5 saidas
58972385 3   # quadro 1764, dist 1, 88 empatadas, 9 saidas
59126005 4   # quadro 1769, dist 1, 162 empatadas, 1 saidas
59320189 6   # quadro 1771, dist 1, 365 empatadas, 4 saidas
59714779 5   # quadro 1797, dist 1, 435 empatadas, 12 saidas
60646999 4   # quadro 1837, dist 0, 438 empatadas, 12 saidas
60901958 6   # quadro 1851, dist 1, 471 empatadas, 15 saidas
60901961 3   # quadro 1851, dist 1, 471 empatadas, 15 saidas
61294051 3   # quadro 1867, dist 1, 246 empatadas, 2 saidas
63310834 7   # quadro 1923, dist 1, 477 empatadas, 12 saidas
64723234 1   # quadro 1963, dist 1, 121 empatadas, 9 saidas
65572273 5   # quadro 1983, dist 1, 475 empatadas, 14 saidas
65952786 6   # quadro 1996, dist 1, 90 empatadas, 7 saidas
66998471 4   # quadro 2026, dist 1, 57 empatadas, 6 saidas
67622400 4   # quadro 2041, dist 1, 333 empatadas, 4 saidas
67633317 2   # quadro 2042, dist 0, 513 empatadas, 15 saidas
68863482 1   # quadro 2073, dist 1, 52 empatadas, 5 saidas
69095783 2   # quadro 2085, dist 1, 369 empatadas, 6 saidas
71211234 4   # quadro 2148, dist 0, 67 empatadas, 8 saidas
72339909 7   # quadro 2189, dist 1, 88 empatadas, 5 saidas
72451424 0   # quadro 2196, dist 1, 163 empatadas, 1 saidas
72734658 5   # quadro 2205, dist 1, 78 empatadas, 7 saidas
73236952 2   # quadro 2219, dist 1, 464 empatadas, 14 saidas
73630521 5   # quadro 2234, dist 1, 455 empatadas, 14 saidas
74357336 6   # quadro 2260, dist 1, 478 empatadas, 13 saidas
75099719 0   # quadro 2291, dist 0, 373 empatadas, 9 saidas
78021318 4   # quadro 2371, dist 1, 293 empatadas, 3 saidas
78554441 3   # quadro 2383, dist 1, 168 empatadas, 1 saidas
78761675 5   # quadro 2387, dist 1, 373 empatadas, 6 saidas
79547606 3   # quadro 2406, dist 1, 283 empatadas, 3 saidas
80150061 7   # quadro 2417, dist 1, 110 empatadas, 7 saidas
80245305 7   # quadro 2419, dist 1, 369 empatadas, 6 saidas
80681532 6   # quadro 2425, dist 1, 61 empatadas, 8 saidas
81180771 7   # quadro 2439, dist 1, 279 empatadas, 3 saidas
81407737 6   # quadro 2442, dist 1, 531 empatadas, 14 saidas
81415524 2   # quadro 2443, dist 1, 472 empatadas, 14 saidas
81758851 4   # quadro 2455, dist 0, 475 empatadas, 14 saidas
81895030 5   # quadro 2458, dist 1, 455 empatadas, 14 saidas
82137460 4   # quadro 2465, dist 1, 438 empatadas, 12 saidas
83714275 4   # quadro 2511, dist 1, 442 empatadas, 13 saidas
84448815 3   # quadro 2532, dist 1, 526 empatadas, 15 saidas
84995396 6   # quadro 2553, dist 1, 435 empatadas, 12 saidas
85246402 5   # quadro 2560, dist 0, 471 empatadas, 15 saidas
85543925 3   # quadro 2573, dist 1, 513 empatadas, 15 saidas
85593866 6   # quadro 2576, dist 0, 269 empatadas, 10 saidas
85725387 7   # quadro 2580, dist 1, 52 empatadas, 5 saidas
86030963 6   # quadro 2589, dist 1, 58 empatadas, 5 saidas
86364931 4   # quadro 2602, dist 1, 53 empatadas, 4 saidas
87166212 2   # quadro 2629, dist 1, 91 empatadas, 5 saidas
87355189 0   # quadro 2636, dist 0, 373 empatadas, 9 saidas
87643158 2   # quadro 2644, dist 1, 75 empatadas, 7 saidas
87844907 0   # quadro 2652, dist 1, 146 empatadas, 1 saidas
88047762 3   # quadro 2659, dist 1, 473 empatadas, 14 saidas
88047766 5   # quadro 2659, dist 1, 473 empatadas, 14 saidas
88627315 3   # quadro 2673, dist 1, 434 empatadas, 12 saidas
89175766 0   # quadro 2690, dist 1, 34 empatadas, 1 saidas
89363635 7   # quadro 2693, dist 1, 323 empatadas, 4 saidas
89561559 0   # quadro 2697, dist 1, 153 empatadas, 1 saidas
89918545 6   # quadro 2701, dist 1, 61 empatadas, 8 saidas
90164434 0   # quadro 2710, dist 1, 39 empatadas, 2 saidas
90951123 4   # quadro 2734, dist 1, 346 empatadas, 6 saidas
91034962 6   # quadro 2737, dist 1, 349 empatadas, 5 saidas
91533846 7   # quadro 2751, dist 1, 73 empatadas, 1 saidas
92170277 3   # quadro 2763, dist 1, 355 empatadas, 5 saidas
92567553 5   # quadro 2774, dist 1, 477 empatadas, 12 saidas
93455595 5   # quadro 2787, dist 1, 190 empatadas, 8 saidas
93990958 4   # quadro 2802, dist 1, 440 empatadas, 13 saidas
93990962 6   # quadro 2802, dist 1, 440 empatadas, 13 saidas
94626763 3   # quadro 2825, dist 1, 485 empatadas, 13 saidas
94970099 0   # quadro 2832, dist 1, 475 empatadas, 14 saidas
94981981 3   # quadro 2833, dist 0, 477 empatadas, 12 saidas
95074148 4   # quadro 2837, dist 1, 384 empatadas, 7 saidas
95417155 0   # quadro 2848, dist 1, 242 empatadas, 2 saidas
95761865 2   # quadro 2856, dist 1, 35 empatadas, 1 saidas
96350315 5   # quadro 2872, dist 1, 68 empatadas, 5 saidas
96542250 1   # quadro 2878, dist 1, 278 empatadas, 3 saidas
97525692 3   # quadro 2902, dist 0, 486 empatadas, 14 saidas
99395742 3   # quadro 2944, dist 1, 477 empatadas, 12 saidas
99412967 7   # quadro 2946, dist 1, 405 empatadas, 13 saidas
100380004 0   # quadro 2970, dist 1, 250 empatadas, 2 saidas
100774511 0   # quadro 2976, dist 1, 560 empatadas, 14 saidas
104753535 3   # quadro 3081, dist 1, 513 empatadas, 15 saidas
104955165 1   # quadro 3088, dist 1, 277 empatadas, 3 saidas
105632316 5   # quadro 3116, dist 1, 287 empatadas, 3 saidas
106228094 4   # quadro 3143, dist 1, 316 empatadas, 4 saidas
106374278 2   # quadro 3151, dist 1, 78 empatadas, 7 saidas
106616145 6   # quadro 3157, dist 1, 54 empatadas, 6 saidas
106767388 0   # quadro 3166, dist 1, 178 empatadas, 1 saidas
106773460 7   # quadro 3167, dist 1, 34 empatadas, 1 saidas
106922736 4   # quadro 3173, dist 1, 526 empatadas, 15 saidas
107160167 2   # quadro 3183, dist 1, 459 empatadas, 12 saidas
107898488 0   # quadro 3207, dist 1, 73 empatadas, 7 saidas
108345199 4   # quadro 3221, dist 1, 423 empatadas, 13 saidas
108635510 0   # quadro 3238, dist 1, 31 empatadas, 1 saidas
109280468 4   # quadro 3260, dist 1, 28 empatadas, 1 saidas
109719178 1   # quadro 3277, dist 1, 73 empatadas, 7 saidas
110015759 0   # quadro 3279, dist 1, 404 empatadas, 11 saidas
110057869 0   # quadro 3282, dist 1, 163 empatadas, 1 saidas
110896568 2   # quadro 3306, dist 1, 477 empatadas, 12 saidas

# ===== NIVEL B: 136 quadros, 279 bits =====
3035402 1   # quadro 63, dist 2, 478 empatadas, 13 saidas
3035402 2   # quadro 63, dist 2, 478 empatadas, 13 saidas
6483638 0   # quadro 162, dist 2, 414 empatadas, 11 saidas
6483638 1   # quadro 162, dist 2, 414 empatadas, 11 saidas
6491113 0   # quadro 163, dist 2, 38 empatadas, 2 saidas
6491113 1   # quadro 163, dist 2, 38 empatadas, 2 saidas
7513781 0   # quadro 196, dist 2, 233 empatadas, 2 saidas
7513781 1   # quadro 196, dist 2, 233 empatadas, 2 saidas
7861028 5   # quadro 208, dist 2, 438 empatadas, 12 saidas
7861029 6   # quadro 208, dist 2, 438 empatadas, 12 saidas
8543787 0   # quadro 222, dist 2, 178 empatadas, 1 saidas
8543787 1   # quadro 222, dist 2, 178 empatadas, 1 saidas
