# alvos.txt -- todo quadro que NAO esta inteiro, classificado por onde esta o dano.
# Gerado em 2026-09-18 sobre o patches.txt de hoje (output/reparado.mp4).
#
# "Inteiro" aqui exige TRES coisas: o `mapa` chega a 8160, o ffmpeg emite imagem
# para o pacote (ffprobe -show_entries frame=pkt_pos), e o cabecalho do slice
# passa na validacao sintatica do `-bsf:v trace_headers`. 2.006 quadros passam;
# estes 1.439 nao.
#
# CLASSES
#   A_cabecalho   cabecalho do slice invalido pela norma (435). E o caso do frame
#                 11: alinhamento CABAC em 0, reordenacao com codigo proibido,
#                 deblocking/cabac_init fora da faixa. O ffmpeg rejeita a maioria
#                 sem imagem nenhuma, e o `mapa` os contava como inteiros.
#   B_inicio      cabecalho valido, para antes de 512 bytes do payload (407)
#   C_meio        para entre 512 B e 2 KB (57)
#   D_tarde       para depois de 2 KB (517)
#   ?_sem_imagem  nao emite imagem e o trace_headers nao acusa nada (23)
#
# colunas: quadro tipo tamanho mb_parada(mapa) consumo(bytes,-1=sem erro de MB)
#          emite_imagem(s/n) trocas_nos_5_primeiros_bytes campo_invalido classe
982 IDR 127846 2760 32890 s 0 - D_tarde
985 B 12441 6302 10054 s 0 - D_tarde
986 B 10610 8160 -1 n 1 modification_of_pic_nums_idc A_cabecalho
987 P 39787 1011 61 s 1 - B_inicio
988 B 12989 8160 -1 n 2 modification_of_pic_nums_idc A_cabecalho
990 B 13987 4050 4250 s 0 - D_tarde
991 P 48368 1008 62 s 1 - B_inicio
994 B 15269 4456 7821 s 0 - D_tarde
995 P 58133 12 66 s 1 - B_inicio
999 B 20118 1013 54 s 0 - B_inicio
1000 B 17001 3099 5293 s 0 - D_tarde
1001 P 56595 4 49 s 2 - B_inicio
1003 B 20240 4412 13289 s 0 - D_tarde
1006 B 20225 3528 10226 s 0 - D_tarde
1007 B 23627 1009 82 s 2 - B_inicio
1008 B 21360 4969 15348 n 0 - D_tarde
1009 P 61068 8160 -1 s 3 cabac_alignment_one_bit A_cabecalho
1010 B 18639 7152 18527 n 0 - D_tarde
1011 IDR 112524 0 107752 s 0 - D_tarde
1012 B 33059 8160 -1 n 0 modification_of_pic_nums_idc A_cabecalho
1017 B 17840 3960 9550 s 0 - D_tarde
1018 B 20686 8160 -1 n 2 modification_of_pic_nums_idc A_cabecalho
1020 P 44610 8160 -1 s 1 cabac_alignment_one_bit A_cabecalho
1023 B 18003 2530 4645 s 0 - D_tarde
1024 P 52772 1 57 s 2 - B_inicio
1027 B 15424 8160 -1 n 1 disable_deblocking_filter_idc A_cabecalho
1030 B 18633 8160 -1 n 2 - ?_sem_imagem
1033 B 19850 8160 -1 n 3 slice_beta_offset_div2 A_cabecalho
1035 B 16407 3597 7660 s 0 - D_tarde
1036 P 61343 8160 -1 n 4 slice_qp_delta A_cabecalho
1040 IDR 108506 1680 11128 s 0 - D_tarde
1043 B 13684 38 83 s 2 cabac_alignment_one_bit A_cabecalho
1045 P 44420 4046 21768 s 0 - D_tarde
1048 B 12254 8160 -1 n 2 modification_of_pic_nums_idc A_cabecalho
1049 P 61610 291 31 s 1 - B_inicio
1054 B 11991 1099 866 s 0 - C_meio
1055 B 15486 395 19 s 3 - B_inicio
1056 B 25291 5431 22443 s 0 - D_tarde
1058 B 14051 9 103 s 0 - B_inicio
1060 B 14948 8160 -1 n 1 modification_of_pic_nums_idc A_cabecalho
1063 B 22247 8160 -1 n 1 cabac_init_idc A_cabecalho
1065 P 68219 8160 -1 n 3 modification_of_pic_nums_idc A_cabecalho
1069 IDR 145596 1560 11714 s 0 - D_tarde
1071 B 11775 376 21 s 3 cabac_alignment_one_bit A_cabecalho
1074 P 48263 2998 14687 s 0 - D_tarde
1076 B 12612 3068 3568 s 0 - D_tarde
1077 IDR 72706 3 195 s 1 - B_inicio
1079 B 2592 8160 -1 n 1 abs_diff_pic_num_minus1 A_cabecalho
1082 P 38290 2921 11995 s 0 - D_tarde
1083 B 3150 808 23 s 1 - B_inicio
1090 P 36442 1 20 s 2 - B_inicio
1094 P 44293 1182 2316 s 0 - D_tarde
1096 B 3942 6900 3656 s 0 - D_tarde
1097 B 3609 8160 -1 n 0 modification_of_pic_nums_idc A_cabecalho
1098 P 43853 208 23 s 0 - B_inicio
1102 P 52122 4080 25839 s 0 - D_tarde
1108 B 4043 125 72 s 0 - B_inicio
1109 B 5164 8160 -1 n 1 long_term_pic_num A_cabecalho
1110 P 45481 4321 24646 s 0 - D_tarde
1114 P 62508 1428 5309 s 0 - D_tarde
1119 B 10597 1023 391 s 0 - B_inicio
1123 P 10118 8160 -1 n 1 cabac_init_idc A_cabecalho
1128 B 13551 4345 6644 s 0 - D_tarde
1129 B 12682 8160 -1 n 0 disable_deblocking_filter_idc A_cabecalho
1131 B 16252 647 53 s 2 - B_inicio
1134 P 60838 8160 -1 n 0 cabac_init_idc A_cabecalho
1143 IDR 50635 3600 18892 s 0 - D_tarde
1145 B 5769 1044 29 s 1 - B_inicio
1151 B 7546 851 21 s 1 - B_inicio
1153 B 7940 67 21 s 3 - B_inicio
1154 B 9632 53 38 s 0 - B_inicio
1158 B 12933 4980 8560 s 0 - D_tarde
1159 P 12832 8160 -1 n 2 cabac_init_idc A_cabecalho
1161 B 12082 6002 10220 s 0 - D_tarde
1162 B 13537 980 62 s 3 - B_inicio
1163 B 13698 8160 -1 n 2 modification_of_pic_nums_idc A_cabecalho
1166 B 11581 3796 4586 s 0 - D_tarde
1167 B 12296 8160 -1 n 1 disable_deblocking_filter_idc A_cabecalho
1170 B 12735 8160 -1 n 4 modification_of_pic_nums_idc A_cabecalho
1172 IDR 127877 1920 12847 s 0 - D_tarde
1174 B 7782 14 116 s 4 cabac_alignment_one_bit A_cabecalho
1177 P 57204 2400 8725 s 0 - D_tarde
1178 B 12806 1306 450 s 0 - B_inicio
1181 B 64990 8160 -1 n 2 modification_of_pic_nums_idc A_cabecalho
1184 B 15209 8160 -1 n 1 disable_deblocking_filter_idc A_cabecalho
1185 P 71640 3960 32452 s 0 - D_tarde
1186 B 15802 4694 10006 s 0 - D_tarde
1187 B 16882 99 20 s 2 - B_inicio
1189 P 81257 2040 10196 s 0 - D_tarde
1195 B 26774 8160 -1 s 1 cabac_alignment_one_bit A_cabecalho
1197 P 94935 3240 31050 s 0 - D_tarde
1202 P 52767 8160 -1 n 2 modification_of_pic_nums_idc A_cabecalho
1203 B 14937 8160 -1 n 3 modification_of_pic_nums_idc A_cabecalho
1206 P 60386 589 117 s 0 - B_inicio
1209 B 12087 4518 6527 s 0 - D_tarde
1210 P 72501 3720 31292 s 0 - D_tarde
1211 B 15091 3835 6716 s 0 - D_tarde
1212 B 16014 8160 -1 n 1 modification_of_pic_nums_idc A_cabecalho
1216 B 20577 4559 10946 s 0 - D_tarde
1218 P 80407 8160 -1 n 1 luma_log2_weight_denom A_cabecalho
1219 B 18032 556 225 s 2 - B_inicio
1221 B 14937 8160 -1 n 1 modification_of_pic_nums_idc A_cabecalho
1224 B 22422 2673 5780 s 0 - D_tarde
1228 B 28011 6178 24800 s 0 - D_tarde
1235 P 85454 8160 -1 n 1 cabac_init_idc A_cabecalho
1237 B 19670 894 40 s 0 - B_inicio
1239 IDR 82764 0 21 s 0 - B_inicio
1242 B 5636 7092 5641 s 0 - D_tarde
1243 B 5935 523 65 s 0 - B_inicio
1244 P 39216 534 71 s 0 cabac_alignment_one_bit A_cabecalho
1246 B 10487 8160 -1 n 1 long_term_pic_num A_cabecalho
1247 B 9656 1055 64 s 0 - B_inicio
1248 P 27472 7102 27479 s 0 - D_tarde
1256 P 43829 1626 3304 s 0 - D_tarde
1258 B 9799 319 21 s 1 cabac_alignment_one_bit A_cabecalho
1263 B 6581 1138 340 s 0 - B_inicio
1264 P 50220 993 41 s 2 - B_inicio
1265 B 5828 1081 88 s 0 - B_inicio
1266 B 6390 8160 -1 n 1 modification_of_pic_nums_idc A_cabecalho
1269 P 32912 8160 -1 n 2 slice_qp_delta A_cabecalho
1271 B 6637 8160 -1 s 0 cabac_alignment_one_bit A_cabecalho
1272 B 5543 904 219 s 0 - B_inicio
1281 P 64749 12 29 s 0 - B_inicio
1285 P 78225 0 22 s 1 cabac_alignment_one_bit A_cabecalho
1287 B 22872 8160 -1 n 0 disable_deblocking_filter_idc A_cabecalho
1288 B 24799 5747 19650 s 0 - D_tarde
1289 P 72968 946 27 s 1 cabac_alignment_one_bit A_cabecalho
1290 B 24270 3416 6978 s 0 - D_tarde
1293 P 85579 20 693 s 2 - C_meio
1294 B 24861 8160 -1 s 1 cabac_alignment_one_bit A_cabecalho
1296 B 20767 17 150 s 2 - B_inicio
1298 P 34993 8160 -1 s 0 chroma_log2_weight_denom A_cabecalho
1300 B 8214 336 19 s 4 cabac_alignment_one_bit A_cabecalho
1302 P 63025 3360 17814 s 0 - D_tarde
1311 B 16332 37 269 s 2 - B_inicio
1314 ? 82373 8160 -1 n 0 - ?_sem_imagem
1315 B 24018 2589 4353 s 0 - D_tarde
1318 P 96370 8160 -1 n 4 - ?_sem_imagem
1319 P 27994 118 1290 s 1 luma_log2_weight_denom A_cabecalho
1320 B 25743 8160 -1 n 3 modification_of_pic_nums_idc A_cabecalho
1323 B 13307 124 274 s 2 - B_inicio
1326 P 58964 9 24 s 0 - B_inicio
1334 P 51407 3060 17440 s 0 - D_tarde
1336 B 13767 1123 898 s 0 - C_meio
1337 B 11834 176 100 s 1 - B_inicio
1342 P 67023 2679 19082 s 0 - D_tarde
1343 B 12982 1163 716 s 0 - C_meio
1344 B 14506 8160 -1 n 1 long_term_pic_num A_cabecalho
1347 B 16123 14 35 s 2 - B_inicio
1350 IDR 162174 1440 14952 s 0 - D_tarde
1354 B 11719 984 34 s 0 - B_inicio
1355 P 51391 7 93 s 0 cabac_alignment_one_bit A_cabecalho
1356 B 15258 6913 14385 s 0 - D_tarde
1357 B 17365 8160 -1 n 1 disable_deblocking_filter_idc A_cabecalho
1360 B 17257 557 63 s 1 - B_inicio
1361 B 19165 59 23 s 0 - B_inicio
1362 B 16281 1042 276 s 0 - B_inicio
1363 P 62062 9 154 s 0 - B_inicio
1365 B 21019 1576 2595 s 0 - D_tarde
1368 B 19614 945 47 s 2 - B_inicio
1372 B 22200 8160 -1 n 1 memory_management_control_operation A_cabecalho
1374 B 20066 2058 3886 s 0 - D_tarde
1376 B 19115 4125 8772 s 0 - D_tarde
1379 IDR 153389 3 31 s 2 - B_inicio
1383 B 9582 2334 1764 s 0 - C_meio
1384 P 57212 6 69 s 0 cabac_alignment_one_bit A_cabecalho
1388 P 63117 8160 -1 n 1 abs_diff_pic_num_minus1 A_cabecalho
1391 B 17984 5808 13844 s 0 - D_tarde
1392 P 71259 828 32 s 0 - B_inicio
1394 B 23749 1257 1086 s 0 - C_meio
1397 B 18615 994 72 s 0 - B_inicio
1404 P 64163 8160 -1 n 0 slice_alpha_c0_offset_div2 A_cabecalho
1406 B 18560 1014 252 s 0 - B_inicio
1409 P 39480 5880 30012 s 0 - D_tarde
1413 P 43378 536 56 s 0 - B_inicio
1417 P 46812 2827 12405 s 0 - D_tarde
1419 B 17625 1215 1470 s 0 - C_meio
1421 P 51747 1849 6190 s 0 - D_tarde
1422 B 17180 2540 3037 s 0 - D_tarde
1425 P 49523 8160 -1 n 2 luma_log2_weight_denom A_cabecalho
1426 B 15803 6 26 s 3 - B_inicio
1429 P 51291 1200 2709 s 0 - D_tarde
1430 B 14525 20 18 s 2 - B_inicio
1433 P 50413 7 231 s 1 - B_inicio
1434 B 15043 8160 -1 n 2 modification_of_pic_nums_idc A_cabecalho
1437 IDR 67644 0 31 s 5 - B_inicio
1438 P 42971 4200 22316 s 0 - D_tarde
1444 B 13719 1730 3368 s 0 - D_tarde
1445 P 8379 8160 -1 n 1 modification_of_pic_nums_idc A_cabecalho
1446 P 41521 967 118 s 1 - B_inicio
1447 B 9755 8160 -1 s 2 cabac_alignment_one_bit A_cabecalho
1450 P 44905 8160 -1 n 2 disable_deblocking_filter_idc A_cabecalho
1451 B 10046 755 103 s 0 - B_inicio
1452 B 14766 8160 -1 n 2 modification_of_pic_nums_idc A_cabecalho
1454 P 43474 2280 13125 s 0 - D_tarde
1456 B 14831 3220 7544 s 0 - D_tarde
1457 B 11010 8160 -1 s 1 cabac_alignment_one_bit A_cabecalho
1458 P 46282 5040 31312 s 0 - D_tarde
1460 B 17061 3167 7895 s 0 - D_tarde
1466 IDR 70714 2 190 s 3 - B_inicio
1467 P 33114 4080 20617 s 0 - D_tarde
1468 B 9382 8160 -1 n 0 modification_of_pic_nums_idc A_cabecalho
1471 P 41901 12 94 s 3 cabac_alignment_one_bit A_cabecalho
1472 B 14619 8160 -1 n 1 cabac_init_idc A_cabecalho
1475 P 45033 1712 7408 s 0 - D_tarde
1476 B 14617 4688 10105 s 0 - D_tarde
1477 B 16331 8160 -1 n 0 modification_of_pic_nums_idc A_cabecalho
1479 P 46854 2760 14570 s 0 - D_tarde
1480 B 15597 2619 3914 s 0 - D_tarde
1481 B 18238 8160 -1 n 3 modification_of_pic_nums_idc A_cabecalho
1483 P 49731 1320 3954 s 0 - D_tarde
1486 B 16825 6823 15226 s 0 - D_tarde
1487 P 44224 8160 -1 n 1 long_term_pic_num A_cabecalho
1488 B 14145 3594 3197 s 0 - D_tarde
1489 B 12741 8160 -1 n 0 abs_diff_pic_num_minus1 A_cabecalho
1491 B 41833 8160 -1 n 2 modification_of_pic_nums_idc A_cabecalho
1492 B 15103 2896 4320 s 0 - D_tarde
1493 B 17714 337 33 s 1 - B_inicio
1496 P 32460 6480 29380 s 0 - D_tarde
1498 P 8196 8160 -1 n 4 modification_of_pic_nums_idc A_cabecalho
1503 B 9205 1778 2175 s 0 - D_tarde
1504 P 40697 193 81 s 0 - B_inicio
1505 B 10598 1102 1488 s 0 - C_meio
1506 B 10693 8160 -1 n 0 disable_deblocking_filter_idc A_cabecalho
1511 P 10188 8160 -1 n 0 - ?_sem_imagem
1512 P 50225 696 41 s 0 cabac_alignment_one_bit A_cabecalho
1515 B 13127 1586 2542 s 0 - D_tarde
1516 P 60213 4 39 s 0 cabac_alignment_one_bit A_cabecalho
1518 B 17533 3466 10435 s 0 - D_tarde
1520 P 58373 1800 10386 s 0 - D_tarde
1521 B 15573 1209 2052 s 0 - D_tarde
1522 B 15893 963 68 s 1 - B_inicio
1524 IDR 138088 1080 935 s 0 - C_meio
1531 B 10769 1570 1390 s 0 - C_meio
1532 B 10328 8160 -1 n 0 long_term_pic_num A_cabecalho
1534 B 11991 8160 -1 n 3 disable_deblocking_filter_idc A_cabecalho
1536 B 12886 3838 7340 s 0 - D_tarde
1537 P 50985 668 90 s 2 cabac_alignment_one_bit A_cabecalho
1540 B 17562 8160 -1 n 0 memory_management_control_operation A_cabecalho
1541 P 49070 4320 28479 s 0 - D_tarde
1544 B 15932 80 19 s 1 - B_inicio
1548 B 16217 758 56 s 2 cabac_alignment_one_bit A_cabecalho
1550 B 17493 1461 1418 s 0 - C_meio
1551 B 19668 26 17 s 0 - B_inicio
1553 IDR 152453 0 44 s 1 - B_inicio
1555 B 11117 966 37 s 2 - B_inicio
1560 B 12257 1060 36 s 1 - B_inicio
1563 B 14931 6934 14227 s 0 - D_tarde
1564 B 15200 980 160 s 1 - B_inicio
1565 B 15088 8160 -1 n 2 memory_management_control_operation A_cabecalho
1566 P 54146 3365 18464 s 0 - D_tarde
1570 P 62613 532 512 s 0 - C_meio
1572 B 23132 3228 8011 s 0 - D_tarde
1573 B 23158 8160 -1 n 0 modification_of_pic_nums_idc A_cabecalho
1575 B 21722 837 33 s 1 - B_inicio
1581 B 22317 1953 2472 s 0 - D_tarde
1587 P 46629 8160 -1 n 4 chroma_log2_weight_denom A_cabecalho
1588 B 17814 8160 -1 n 2 modification_of_pic_nums_idc A_cabecalho
1590 B 15460 426 19 s 4 - B_inicio
1593 B 14196 7230 14201 s 0 - D_tarde
1595 IDR 62953 8160 -1 n 0 - ?_sem_imagem
1596 B 27648 4659 20027 s 0 - D_tarde
1597 B 7121 500 19 s 0 - B_inicio
1598 B 16901 8160 -1 n 3 memory_management_control_operation A_cabecalho
1600 B 17152 8160 -1 n 3 disable_deblocking_filter_idc A_cabecalho
1604 B 24115 5727 17544 s 0 - D_tarde
1605 B 28988 8160 -1 n 2 modification_of_pic_nums_idc A_cabecalho
1606 B 26515 4749 13072 s 0 - D_tarde
1607 P 72643 8160 -1 n 1 slice_beta_offset_div2 A_cabecalho
1609 P 29504 8160 -1 n 1 disable_deblocking_filter_idc A_cabecalho
1611 IDR 129120 2040 14530 s 0 - D_tarde
1612 P 40760 5880 33240 s 0 - D_tarde
1613 P 22238 8160 -1 n 1 slice_qp_delta A_cabecalho
1615 P 20125 8160 -1 n 2 cabac_init_idc A_cabecalho
1616 P 35006 5760 25897 s 0 - D_tarde
1619 B 14503 3308 3418 s 0 - D_tarde
1623 B 14957 6493 12177 s 0 - D_tarde
1624 P 27341 8160 -1 n 1 long_term_pic_num A_cabecalho
1625 IDR 108690 2 429 s 0 - B_inicio
1628 P 16346 8160 -1 n 3 modification_of_pic_nums_idc A_cabecalho
1630 P 47305 16 23 s 1 - B_inicio
1631 B 13696 8160 -1 n 2 cabac_init_idc A_cabecalho
1634 P 61002 1836 6889 s 0 - D_tarde
1638 P 65148 8160 -1 s 1 cabac_alignment_one_bit A_cabecalho
1642 P 80810 2118 12196 s 0 - D_tarde
1644 B 20330 4266 9572 s 0 - D_tarde
1646 P 68861 21 310 s 1 - B_inicio
1651 B 20995 4171 11009 s 0 - D_tarde
1652 B 26669 8160 -1 n 4 disable_deblocking_filter_idc A_cabecalho
1654 IDR 160866 0 160832 s 3 - D_tarde
1657 B 22399 2495 6192 s 0 - D_tarde
1661 B 24840 3063 9507 s 0 - D_tarde
1663 P 75391 1920 13261 s 0 - D_tarde
1664 B 22925 40 49 s 0 - B_inicio
1665 B 27537 3520 13343 s 0 - D_tarde
1668 B 17547 8160 -1 n 1 cabac_init_idc A_cabecalho
1669 B 17119 6360 15891 s 0 - D_tarde
1670 B 15035 8160 -1 n 1 modification_of_pic_nums_idc A_cabecalho
1671 P 94053 2374 20112 s 0 - D_tarde
1673 B 23230 1841 3966 s 0 - D_tarde
1679 P 78902 4 97 s 3 - B_inicio
1682 B 21458 1672 2811 s 0 - D_tarde
1688 P 76971 1403 3798 s 0 - D_tarde
1690 B 17653 8160 -1 s 2 cabac_alignment_one_bit A_cabecalho
1694 B 21286 3528 7541 s 0 - D_tarde
1696 P 99111 2371 15938 s 0 - D_tarde
1697 B 25121 4764 14965 s 0 - D_tarde
1699 B 27586 4401 14365 s 0 - D_tarde
1700 P 59634 4320 23646 s 0 - D_tarde
1702 P 58960 3600 22449 s 0 - D_tarde
1704 B 13396 8160 -1 n 0 disable_deblocking_filter_idc A_cabecalho
1707 B 13745 4039 5966 s 0 - D_tarde
1710 P 74241 971 276 s 0 - B_inicio
1712 IDR 185831 1320 7525 s 0 - D_tarde
1715 B 13314 8160 -1 n 1 modification_of_pic_nums_idc A_cabecalho
1717 P 77862 3120 20998 s 0 - D_tarde
1718 B 19529 1052 215 s 1 - B_inicio
1722 B 19443 962 29 s 0 - B_inicio
1725 P 69149 266 93 s 4 - B_inicio
1726 B 20912 5637 17518 s 0 - D_tarde
1727 B 27914 853 29 s 0 - B_inicio
1728 B 24806 5206 17886 s 0 - D_tarde
1729 P 90273 2 23 s 1 cabac_alignment_one_bit A_cabecalho
1730 B 30456 21 140 s 1 - B_inicio
1731 B 31427 2902 7032 s 0 - D_tarde
1734 B 26334 8160 -1 n 2 modification_of_pic_nums_idc A_cabecalho
1735 B 29167 4872 18339 s 0 - D_tarde
1736 B 24120 842 34 s 3 - B_inicio
1737 P 73351 2400 14170 s 0 - D_tarde
1739 B 29187 4458 15559 s 0 - D_tarde
1740 B 27604 5688 22012 s 0 - D_tarde
1741 IDR 154128 1 154108 s 1 - D_tarde
1742 P 43149 66 660 s 1 - C_meio
1745 B 13965 4746 8915 s 0 - D_tarde
1746 P 60626 36 26 s 1 - B_inicio
1748 B 22478 4824 14077 s 0 - D_tarde
1749 B 20836 8160 -1 n 1 abs_diff_pic_num_minus1 A_cabecalho
1751 B 20090 8160 -1 s 3 cabac_alignment_one_bit A_cabecalho
1753 B 20527 3014 4416 s 0 - D_tarde
1754 P 55812 18 64 s 1 - B_inicio
1756 B 21137 4081 9447 s 0 - D_tarde
1759 B 20833 2852 5417 s 0 - D_tarde
1760 B 24720 5157 20686 s 0 - D_tarde
1762 P 71656 3147 26642 s 0 - D_tarde
1763 B 26847 1582 2666 s 0 - D_tarde
1769 B 18507 3480 10083 s 0 - D_tarde
1773 IDR 34317 6960 33501 s 0 - D_tarde
1774 P 29357 24 415 s 2 - B_inicio
1778 B 28516 8160 -1 n 0 modification_of_pic_nums_idc A_cabecalho
1780 B 8762 8160 -1 n 1 modification_of_pic_nums_idc A_cabecalho
1781 B 5261 989 55 s 2 - B_inicio
1783 B 6291 963 95 s 1 - B_inicio
1784 P 8380 8160 -1 n 1 cabac_init_idc A_cabecalho
1788 B 7812 8160 -1 n 2 modification_of_pic_nums_idc A_cabecalho
1790 P 36511 3600 11086 s 0 - D_tarde
1794 P 34031 8160 -1 n 0 modification_of_pic_nums_idc A_cabecalho
1796 B 6918 6844 6557 s 0 - D_tarde
1798 P 35787 972 323 s 0 - B_inicio
1800 B 8554 900 83 s 1 - B_inicio
1802 IDR 78007 3600 20276 s 0 - D_tarde
1805 B 13296 2587 4060 s 0 - D_tarde
1807 P 30295 4 37 s 2 - B_inicio
1811 P 35324 3981 11266 s 0 - D_tarde
1815 P 38173 1 19 s 0 - B_inicio
1816 B 10980 4651 4118 s 0 - D_tarde
1817 P 10582 8160 -1 n 0 cabac_init_idc A_cabecalho
1819 P 39704 5025 21017 s 0 - D_tarde
1821 B 14413 3929 3707 s 0 - D_tarde
1822 B 12415 966 33 s 1 - B_inicio
1824 B 10979 350 37 s 0 - B_inicio
1827 P 42402 2778 8108 s 0 - D_tarde
1831 IDR 103514 1080 863 s 0 - C_meio
1834 P 33169 98 1707 s 1 - C_meio
1838 P 28673 969 252 s 3 - B_inicio
1841 B 6517 8160 -1 n 1 disable_deblocking_filter_idc A_cabecalho
1842 P 43659 5132 30824 s 0 - D_tarde
1850 P 42165 879 44 n 0 - B_inicio
1851 B 6166 1080 63 n 0 cabac_alignment_one_bit A_cabecalho
1852 B 6410 8160 -1 n 3 abs_diff_pic_num_minus1 A_cabecalho
1854 P 38541 8160 -1 n 0 - ?_sem_imagem
1855 B 5975 8160 -1 n 1 - ?_sem_imagem
1856 B 7319 8160 -1 n 0 - ?_sem_imagem
1857 B 5620 8160 -1 n 0 - ?_sem_imagem
1858 P 46646 8160 -1 n 0 - ?_sem_imagem
1859 B 7403 8160 -1 n 0 - ?_sem_imagem
1860 B 8030 968 41 n 0 - B_inicio
1861 B 6381 8160 -1 n 0 - ?_sem_imagem
1865 B 9700 6306 8446 s 0 - D_tarde
1866 B 9827 8160 -1 n 1 disable_deblocking_filter_idc A_cabecalho
1868 B 10018 827 26 s 0 - B_inicio
1871 P 34049 10 58 s 0 cabac_alignment_one_bit A_cabecalho
1872 B 24017 2405 6904 s 0 - D_tarde
1874 B 13248 8160 -1 n 0 modification_of_pic_nums_idc A_cabecalho
1876 B 13333 5626 10430 s 0 - D_tarde
1877 P 53688 85 146 s 1 - B_inicio
1878 B 15576 8160 -1 n 0 memory_management_control_operation A_cabecalho
1880 B 17116 1028 98 s 0 - B_inicio
1882 B 23479 1149 1154 s 0 - C_meio
1885 P 72610 3480 30232 s 0 - D_tarde
1888 B 22867 4055 10656 s 0 - D_tarde
1889 P 74397 24 20 s 0 - B_inicio
1891 IDR 144918 2280 27444 s 0 - D_tarde
1893 B 9893 1121 202 s 2 - B_inicio
1896 P 63495 1680 7274 s 0 - D_tarde
1897 B 16331 839 35 s 1 - B_inicio
1899 B 13856 5323 9132 s 0 - D_tarde
1900 P 70219 3666 31868 s 0 - D_tarde
1901 B 18602 4476 10944 s 0 - D_tarde
1902 B 18740 506 22 s 4 - B_inicio
1908 P 82024 1981 12895 s 0 - D_tarde
1910 B 27948 967 189 s 0 - B_inicio
1911 B 27310 3142 9940 s 0 - D_tarde
1917 B 23979 2670 5564 s 0 - D_tarde
1920 IDR 161528 1680 16523 s 0 - D_tarde
1923 B 14584 8160 -1 s 0 cabac_alignment_one_bit A_cabecalho
1927 B 15813 3689 5135 s 0 - D_tarde
1928 B 15014 8160 -1 n 1 modification_of_pic_nums_idc A_cabecalho
1930 B 18292 2500 3075 s 0 - D_tarde
1932 B 18375 5668 13815 s 0 - D_tarde
1933 P 66948 982 143 s 1 - B_inicio
1935 B 26121 1330 1334 s 0 - C_meio
1937 P 71869 971 232 s 0 - B_inicio
1941 P 82453 429 157 s 1 - B_inicio
1943 B 27544 6652 26147 s 0 - D_tarde
1944 B 24569 8160 -1 s 0 cabac_alignment_one_bit A_cabecalho
1950 P 37852 6120 31590 s 0 - D_tarde
1956 B 15148 964 47 s 0 - B_inicio
1958 P 63585 3000 15968 s 0 - D_tarde
1959 B 19126 1107 490 s 0 - B_inicio
1960 B 19501 6448 17080 s 0 - D_tarde
1961 B 17965 4 17 s 0 - B_inicio
1962 P 62596 4320 29421 s 0 - D_tarde
1963 B 17462 6416 15230 s 0 - D_tarde
1964 B 19163 962 86 s 1 - B_inicio
1967 B 24184 8160 -1 n 1 slice_qp_delta A_cabecalho
1968 B 24645 4155 9409 s 0 - D_tarde
1969 B 22781 961 24 s 1 - B_inicio
1970 P 91307 8160 -1 n 3 - ?_sem_imagem
1971 B 22228 2740 4470 s 0 - D_tarde
1975 B 24442 8160 -1 n 0 long_term_pic_num A_cabecalho
1976 B 26758 4367 12522 s 0 - D_tarde
1977 B 23851 761 24 s 0 cabac_alignment_one_bit A_cabecalho
1982 B 9321 2533 1926 s 0 - C_meio
1983 P 57158 2 19 s 2 cabac_alignment_one_bit A_cabecalho
1987 P 62494 970 206 s 0 - B_inicio
1990 B 17380 5 21 s 1 - B_inicio
1991 P 72666 3469 23560 s 0 - D_tarde
1992 B 19251 591 51 s 1 - B_inicio
1995 P 69875 671 94 s 0 cabac_alignment_one_bit A_cabecalho
1996 B 20730 6302 17655 s 0 - D_tarde
1997 B 23599 8160 -1 n 1 cabac_init_idc A_cabecalho
1999 P 78401 1005 1207 s 0 - C_meio
2000 B 24176 3848 8034 s 0 - D_tarde
2006 B 22826 1063 667 s 0 - C_meio
2008 P 44872 3720 23650 s 0 - D_tarde
2010 B 10995 4126 6554 s 0 - D_tarde
2011 B 11766 18 158 s 1 cabac_alignment_one_bit A_cabecalho
2012 P 50654 8160 -1 n 2 cabac_init_idc A_cabecalho
2015 B 10483 1118 926 s 0 - C_meio
2016 P 62947 3 101 s 2 - B_inicio
2021 B 15824 393 181 s 0 - B_inicio
2024 P 77463 4 52 s 1 - B_inicio
2027 B 14787 983 106 s 0 - B_inicio
2028 P 81910 27 295 s 1 - B_inicio
2029 B 19186 369 21 s 0 - B_inicio
2030 B 22099 1304 1716 s 0 - C_meio
2033 B 21779 6305 20015 s 0 - D_tarde
2034 B 20718 965 56 s 1 - B_inicio
2037 P 44077 8160 -1 n 1 chroma_weight_l0[i][j] A_cabecalho
2038 B 7928 8160 -1 n 1 modification_of_pic_nums_idc A_cabecalho
2039 B 9173 645 45 s 0 - B_inicio
2041 P 60601 2121 10566 s 0 - D_tarde
2042 B 10920 8160 -1 s 1 cabac_alignment_one_bit A_cabecalho
2043 B 11440 991 118 s 1 - B_inicio
2049 P 84812 1 44 s 2 cabac_alignment_one_bit A_cabecalho
2050 B 15221 8160 -1 n 2 long_term_pic_num A_cabecalho
2053 P 83391 10 195 s 0 - B_inicio
2054 B 19494 2778 6307 s 0 - D_tarde
