# alvos.txt -- todo quadro que NAO esta inteiro, classificado por onde esta o dano.
# Gerado em 2026-09-18 sobre o patches.txt de hoje (output/reparado.mp4).
#
# "Inteiro" aqui exige TRES coisas: o `mapa` chega a 8160, o ffmpeg emite imagem
# para o pacote (ffprobe -show_entries frame=pkt_pos), e o cabecalho do slice
# passa na validacao sintatica do `-bsf:v trace_headers`. 2.006 quadros passam;
# estes 1.439 nao.
#
# CLASSES
#   A_cabecalho   cabecalho do slice invalido pela norma (435). E o caso do frame
#                 11: alinhamento CABAC em 0, reordenacao com codigo proibido,
#                 deblocking/cabac_init fora da faixa. O ffmpeg rejeita a maioria
#                 sem imagem nenhuma, e o `mapa` os contava como inteiros.
#   B_inicio      cabecalho valido, para antes de 512 bytes do payload (407)
#   C_meio        para entre 512 B e 2 KB (57)
#   D_tarde       para depois de 2 KB (517)
#   ?_sem_imagem  nao emite imagem e o trace_headers nao acusa nada (23)
#
# colunas: quadro tipo tamanho mb_parada(mapa) consumo(bytes,-1=sem erro de MB)
#          emite_imagem(s/n) trocas_nos_5_primeiros_bytes campo_invalido classe
223 B 11040 517 22 s 0 - B_inicio
224 P 29142 1034 32 s 1 cabac_alignment_one_bit A_cabecalho
225 B 8807 5112 5545 s 0 - D_tarde
226 B 11075 326 19 s 0 - B_inicio
227 B 9002 1035 68 s 2 cabac_alignment_one_bit A_cabecalho
228 P 36204 5520 26232 s 0 - D_tarde
229 B 9709 1051 106 s 1 - B_inicio
232 P 30799 8160 -1 n 1 disable_deblocking_filter_idc A_cabecalho
234 P 42412 1680 6607 s 0 - D_tarde
236 B 12293 2135 3819 s 0 - D_tarde
237 B 10300 8160 -1 n 0 long_term_pic_num A_cabecalho
239 B 9473 1043 70 s 0 cabac_alignment_one_bit A_cabecalho
242 P 47287 8160 -1 n 0 memory_management_control_operation A_cabecalho
243 B 10122 553 38 s 0 - B_inicio
246 P 44242 2391 10429 s 0 - D_tarde
248 IDR 97680 1320 5891 s 0 - D_tarde
251 B 13945 8160 -1 n 1 abs_diff_pic_num_minus1 A_cabecalho
257 P 50206 6 77 s 0 - B_inicio
261 P 49802 2588 10914 s 0 - D_tarde
266 B 17809 1031 96 s 0 - B_inicio
268 B 17031 4036 8798 s 0 - D_tarde
269 P 57916 1120 141 s 1 - B_inicio
273 P 58854 2356 12427 s 0 - D_tarde
274 B 17873 1060 379 s 0 - B_inicio
276 B 18474 4650 12768 s 0 - D_tarde
277 IDR 130416 1 55 s 2 cabac_alignment_one_bit A_cabecalho
280 B 14674 124 184 s 1 - B_inicio
283 B 19213 443 23 s 0 - B_inicio
286 P 54693 8160 -1 n 1 cabac_init_idc A_cabecalho
288 B 21872 4757 14686 s 0 - D_tarde
289 B 19943 335 29 s 1 - B_inicio
290 P 68537 1557 8609 s 0 - D_tarde
292 B 21961 5657 17550 s 0 - D_tarde
297 B 19696 504 222 s 2 - B_inicio
299 B 21416 2622 6806 s 0 - D_tarde
300 B 24527 6329 21016 s 0 - D_tarde
301 B 25144 988 555 s 2 - C_meio
303 B 23807 1007 66 s 0 - B_inicio
304 B 24783 6903 23034 s 0 - D_tarde
306 IDR 150310 1920 26475 s 0 - D_tarde
310 B 18232 999 93 s 0 - B_inicio
314 B 11299 1122 614 s 0 - C_meio
315 P 62076 29 148 s 1 - B_inicio
317 B 21040 3042 7005 s 0 - D_tarde
318 B 19561 1015 116 s 1 - B_inicio
321 B 23468 3401 9186 s 0 - D_tarde
322 B 23830 46 64 s 0 - B_inicio
324 P 36800 8160 -1 n 0 disable_deblocking_filter_idc A_cabecalho
325 B 9140 26 91 s 2 - B_inicio
328 P 49357 3360 17122 s 0 - D_tarde
330 B 13355 1105 126 s 0 - B_inicio
331 P 44457 4800 25429 s 0 - D_tarde
333 B 16784 6798 15729 s 0 - D_tarde
334 B 14465 834 23 s 0 - B_inicio
335 P 49303 1056 540 s 1 - C_meio
336 B 13879 1033 191 s 3 - B_inicio
338 B 14026 2761 3134 s 0 - D_tarde
339 P 58704 8160 -1 n 0 disable_deblocking_filter_idc A_cabecalho
341 B 12668 3778 5288 s 0 - D_tarde
342 B 10526 984 30 s 1 - B_inicio
343 P 65991 4200 31631 s 0 - D_tarde
347 P 63108 4294 31425 s 0 - D_tarde
349 B 12274 4829 6954 s 0 - D_tarde
352 IDR 126079 2040 21730 s 0 - D_tarde
355 B 11682 1000 24 s 1 - B_inicio
359 B 14968 110 18 s 0 memory_management_control_operation A_cabecalho
361 P 65911 1041 1352 s 0 - C_meio
362 B 16849 8160 -1 n 1 num_ref_idx_l0_active_minus1 A_cabecalho
363 B 17111 7199 17097 s 0 - D_tarde
364 B 16363 847 82 s 0 - B_inicio
365 P 75459 3960 33876 s 0 - D_tarde
366 B 19381 3693 6478 s 0 - D_tarde
367 B 20485 151 321 s 2 - B_inicio
368 B 18039 6290 15550 s 0 - D_tarde
369 P 87171 985 107 s 1 cabac_alignment_one_bit A_cabecalho
370 B 22450 8160 -1 n 1 disable_deblocking_filter_idc A_cabecalho
371 B 25919 6676 23628 s 0 - D_tarde
373 P 97593 2881 26718 s 0 - D_tarde
375 B 28260 1029 675 s 0 - C_meio
378 B 26809 8160 -1 s 0 cabac_alignment_one_bit A_cabecalho
379 B 29875 4895 18216 s 0 - D_tarde
386 P 66218 4 18 s 0 cabac_alignment_one_bit A_cabecalho
388 B 12555 5070 8123 s 0 - D_tarde
390 P 80307 2729 21080 s 0 - D_tarde
391 B 17666 905 26 s 4 - B_inicio
394 P 93682 924 182 s 2 cabac_alignment_one_bit A_cabecalho
396 B 23752 5452 17125 s 0 - D_tarde
397 B 22582 8160 -1 s 1 cabac_alignment_one_bit A_cabecalho
400 B 28233 6240 23821 s 0 - D_tarde
401 B 24921 8160 -1 n 1 cabac_init_idc A_cabecalho
402 P 114814 2033 20395 s 0 - D_tarde
405 B 30462 34 17 s 0 - B_inicio
406 P 124627 1532 13785 s 0 - D_tarde
409 B 35587 3171 11577 s 0 - D_tarde
411 P 44974 8160 -1 n 2 cabac_init_idc A_cabecalho
412 B 8780 8160 -1 s 1 cabac_alignment_one_bit A_cabecalho
416 B 13112 8160 -1 n 2 modification_of_pic_nums_idc A_cabecalho
417 B 14405 17 19 s 0 cabac_alignment_one_bit A_cabecalho
420 B 18219 2119 3485 s 0 - D_tarde
423 P 88937 1024 1945 s 0 - C_meio
425 B 22724 8160 -1 n 0 modification_of_pic_nums_idc A_cabecalho
427 P 107430 4 24 s 1 cabac_alignment_one_bit A_cabecalho
428 B 28377 8160 -1 n 1 num_ref_idx_l0_active_minus1 A_cabecalho
430 B 27684 5218 18909 s 0 - D_tarde
431 P 122836 79 60 s 2 cabac_alignment_one_bit A_cabecalho
432 B 28683 4442 15188 s 0 - D_tarde
433 B 31138 8160 -1 n 2 cabac_init_idc A_cabecalho
434 B 30830 1828 5064 s 0 - D_tarde
435 P 135597 1920 22874 s 0 - D_tarde
436 P 41732 8160 -1 n 0 slice_beta_offset_div2 A_cabecalho
438 B 41368 980 110 s 0 - B_inicio
440 P 49944 4920 30178 s 0 - D_tarde
444 P 72475 1535 6962 s 0 - D_tarde
447 B 10445 6996 9928 s 0 - D_tarde
448 P 90429 8160 -1 n 0 cabac_init_idc A_cabecalho
449 B 12763 4921 7466 s 0 - D_tarde
455 P 94128 1782 13379 s 0 - D_tarde
460 B 4914 1212 81 s 0 - B_inicio
461 P 52671 8160 -1 n 3 modification_of_pic_nums_idc A_cabecalho
466 B 10679 1094 41 s 2 - B_inicio
469 P 62120 1532 4705 s 0 - D_tarde
473 P 87181 8160 -1 n 0 luma_log2_weight_denom A_cabecalho
475 B 14464 1045 108 s 1 - B_inicio
480 B 12237 8160 -1 n 3 disable_deblocking_filter_idc A_cabecalho
482 B 10845 38 42 s 0 - B_inicio
485 IDR 263679 1320 11196 s 0 - D_tarde
488 B 3809 397 63 s 1 - B_inicio
498 P 89729 12 20 s 3 - B_inicio
501 B 17189 4429 8919 s 0 - D_tarde
506 P 108457 2400 16472 s 0 - D_tarde
507 B 22397 2130 3330 s 0 - D_tarde
510 P 121010 2906 30229 s 0 - D_tarde
511 B 24154 3118 7313 s 0 - D_tarde
515 P 40995 8160 -1 s 2 cabac_alignment_one_bit A_cabecalho
516 B 3411 3 34 s 3 - B_inicio
517 B 3610 8160 -1 n 1 abs_diff_pic_num_minus1 A_cabecalho
519 P 64395 905 27 s 1 - B_inicio
521 B 12697 8160 -1 n 3 disable_deblocking_filter_idc A_cabecalho
522 B 11623 410 25 s 2 - B_inicio
523 P 66524 3748 25017 s 0 - D_tarde
525 B 11318 8160 -1 n 0 modification_of_pic_nums_idc A_cabecalho
529 B 18049 392 24 s 1 - B_inicio
531 P 128918 11 300 s 0 - B_inicio
533 B 24927 8160 -1 s 0 cabac_alignment_one_bit A_cabecalho
534 B 32418 3426 11162 s 0 - D_tarde
536 B 36118 2484 7223 s 0 - D_tarde
537 B 34545 8160 -1 n 0 modification_of_pic_nums_idc A_cabecalho
538 B 31620 8160 -1 s 0 cabac_alignment_one_bit A_cabecalho
539 P 125227 1185 3419 s 0 - D_tarde
540 B 32014 3563 11710 s 0 - D_tarde
542 B 26273 1396 1650 s 0 - C_meio
543 IDR 310731 1560 24937 s 0 - D_tarde
549 B 13912 8160 -1 n 0 cabac_init_idc A_cabecalho
552 P 76165 8160 -1 n 0 disable_deblocking_filter_idc A_cabecalho
559 B 19263 405 28 s 1 - B_inicio
560 P 112791 1501 7617 s 0 - D_tarde
564 IDR 112816 2520 24832 s 0 - D_tarde
565 P 39935 3000 9864 s 0 - D_tarde
567 B 12942 4447 6856 s 0 - D_tarde
571 B 15103 1090 1084 s 0 - C_meio
572 B 12055 967 56 s 0 - B_inicio
574 B 14416 6004 11994 s 0 - D_tarde
575 B 16502 8160 -1 n 2 modification_of_pic_nums_idc A_cabecalho
582 B 12864 982 53 s 2 - B_inicio
588 B 16648 8160 -1 n 1 cabac_init_idc A_cabecalho
589 P 76295 3455 28418 s 0 - D_tarde
590 B 18041 845 30 s 0 - B_inicio
593 IDR 157658 2040 27620 s 0 - D_tarde
597 B 7696 8160 -1 n 0 abs_diff_pic_num_minus1 A_cabecalho
598 P 59436 2 20 s 0 - B_inicio
600 B 13290 3323 4994 s 0 - D_tarde
601 B 13201 47 154 s 2 cabac_alignment_one_bit A_cabecalho
602 P 72241 3357 27916 s 0 - D_tarde
604 B 20961 8160 -1 n 5 memory_management_control_operation A_cabecalho
606 P 80726 4 18 s 3 - B_inicio
608 B 21711 24 73 s 0 - B_inicio
610 P 88159 13 43 s 1 - B_inicio
611 B 17037 1853 3029 s 0 - D_tarde
614 P 87782 1031 2206 s 0 - D_tarde
616 B 18834 13 82 s 3 cabac_alignment_one_bit A_cabecalho
620 B 21131 8160 -1 n 1 memory_management_control_operation A_cabecalho
621 B 19784 6460 17154 s 0 - D_tarde
622 IDR 175017 2 68 s 2 cabac_alignment_one_bit A_cabecalho
626 B 9159 8160 -1 n 2 modification_of_pic_nums_idc A_cabecalho
627 P 55716 127 20 s 2 - B_inicio
628 B 9802 1042 158 s 0 - B_inicio
630 B 12143 8160 -1 n 1 modification_of_pic_nums_idc A_cabecalho
631 P 74222 3876 32002 s 0 - D_tarde
632 B 14125 4188 6510 s 0 - D_tarde
633 B 15436 8160 -1 n 0 modification_of_pic_nums_idc A_cabecalho
636 B 14788 8160 -1 n 2 slice_alpha_c0_offset_div2 A_cabecalho
638 B 17386 3058 4629 s 0 - D_tarde
639 P 72565 2 20 s 1 cabac_alignment_one_bit A_cabecalho
641 B 22152 747 88 s 1 cabac_alignment_one_bit A_cabecalho
642 B 18904 3719 6799 s 0 - D_tarde
643 P 62981 667 25 s 3 cabac_alignment_one_bit A_cabecalho
645 B 23776 1758 3008 s 0 - D_tarde
647 IDR 126154 1320 6647 s 0 - D_tarde
649 B 3332 8160 -1 s 1 cabac_alignment_one_bit A_cabecalho
656 P 52547 8160 -1 n 2 luma_log2_weight_denom A_cabecalho
657 B 8100 8160 -1 n 1 disable_deblocking_filter_idc A_cabecalho
660 P 60462 1192 2489 s 0 - D_tarde
661 B 8934 30 251 s 1 cabac_alignment_one_bit A_cabecalho
664 P 63319 3111 16577 s 0 - D_tarde
666 B 8771 467 72 s 2 - B_inicio
667 B 11493 8 18 s 2 - B_inicio
671 B 12641 4977 7928 s 0 - D_tarde
672 P 84696 9 63 s 4 - B_inicio
675 B 12540 8160 -1 n 2 modification_of_pic_nums_idc A_cabecalho
676 IDR 207775 1680 21168 s 0 - D_tarde
680 B 8006 4362 3772 s 0 - D_tarde
681 B 8898 1036 64 s 3 - B_inicio
682 B 7826 8160 -1 n 0 modification_of_pic_nums_idc A_cabecalho
684 B 14092 3775 5433 s 0 - D_tarde
685 B 15308 8160 -1 n 1 modification_of_pic_nums_idc A_cabecalho
687 P 82561 2030 11630 s 0 - D_tarde
691 P 78402 2872 19058 s 0 - D_tarde
692 B 10257 527 95 s 0 - B_inicio
695 P 87072 1186 2623 s 0 - D_tarde
700 B 21784 8160 -1 s 2 cabac_alignment_one_bit A_cabecalho
702 B 20058 351 23 s 0 - B_inicio
705 IDR 232555 0 29 s 1 - B_inicio
708 B 7209 2263 978 s 0 - C_meio
713 B 10360 3675 4245 s 0 - D_tarde
714 P 59115 5 43 s 2 - B_inicio
718 B 63874 8160 -1 n 1 long_term_pic_num A_cabecalho
727 B 17610 4094 8346 s 0 - D_tarde
728 B 16666 1172 550 s 1 - C_meio
732 B 27444 1067 518 s 0 - C_meio
735 P 40994 3120 11423 s 0 - D_tarde
746 B 19687 8160 -1 n 1 cabac_init_idc A_cabecalho
750 B 12362 8160 -1 n 2 long_term_pic_num A_cabecalho
751 P 82282 16 268 s 1 cabac_alignment_one_bit A_cabecalho
755 P 78462 1024 258 s 0 - B_inicio
760 B 17814 5817 13246 s 0 - D_tarde
764 P 34705 75 1455 s 1 - C_meio
768 P 54419 3127 15725 s 0 - D_tarde
770 B 10519 8160 -1 n 1 disable_deblocking_filter_idc A_cabecalho
774 B 13962 1018 58 s 0 - B_inicio
776 P 68066 1771 8060 s 0 - D_tarde
777 B 14685 8160 -1 n 2 cabac_init_idc A_cabecalho
780 P 87197 4 63 s 1 cabac_alignment_one_bit A_cabecalho
781 B 15100 8160 -1 n 2 long_term_pic_num A_cabecalho
784 P 65659 1336 3720 s 0 - D_tarde
